COLUMN,DESCRIPTION,TYPE,LENGTH,DECIML,RANGEVAL,UNITS,CODE,NOTES,TBLNAME,CRFNAME
CTX_LH_PARSOPERCULARIS_UCBERKELEYAV1451_10_17_16,ctx-lh-parsopercularis,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_PARSOPERCULARIS_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-parsopercularis ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_PARSORBITALIS_UCBERKELEYAV1451_10_17_16,ctx-lh-parsorbitalis,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_PARSORBITALIS_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-parsorbitalis ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_PARSTRIANGULARIS_UCBERKELEYAV1451_10_17_16,ctx-lh-parstriangularis,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_PARSTRIANGULARIS_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-parstriangularis ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_PERICALCARINE_UCBERKELEYAV1451_10_17_16,ctx-lh-pericalcarine,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_PERICALCARINE_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-pericalcarine ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_POSTCENTRAL_UCBERKELEYAV1451_10_17_16,ctx-lh-postcentral,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_POSTCENTRAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-postcentral ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_POSTERIORCINGULATE_UCBERKELEYAV1451_10_17_16,ctx-lh-posteriorcingulate,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_POSTERIORCINGULATE_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-posteriorcingulate ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_PRECENTRAL_UCBERKELEYAV1451_10_17_16,ctx-lh-precentral,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_PRECENTRAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-precentral ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_PRECUNEUS_UCBERKELEYAV1451_10_17_16,ctx-lh-precuneus,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_PRECUNEUS_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-precuneus ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_ROSTRALANTERIORCINGULATE_UCBERKELEYAV1451_10_17_16,ctx-lh-rostralanteriorcingulate,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_ROSTRALANTERIORCINGULATE_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-rostralanteriorcingulate ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_ROSTRALMIDDLEFRONTAL_UCBERKELEYAV1451_10_17_16,ctx-lh-rostralmiddlefrontal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_ROSTRALMIDDLEFRONTAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-rostralmiddlefrontal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_SUPERIORFRONTAL_UCBERKELEYAV1451_10_17_16,ctx-lh-superiorfrontal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_SUPERIORFRONTAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-superiorfrontal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_SUPERIORPARIETAL_UCBERKELEYAV1451_10_17_16,ctx-lh-superiorparietal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_SUPERIORPARIETAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-superiorparietal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_SUPERIORTEMPORAL_UCBERKELEYAV1451_10_17_16,ctx-lh-superiortemporal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_SUPERIORTEMPORAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-superiortemporal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_SUPRAMARGINAL_UCBERKELEYAV1451_10_17_16,ctx-lh-supramarginal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_SUPRAMARGINAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-supramarginal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_TEMPORALPOLE_UCBERKELEYAV1451_10_17_16,ctx-lh-temporalpole,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_TEMPORALPOLE_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-temporalpole ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_TRANSVERSETEMPORAL_UCBERKELEYAV1451_10_17_16,ctx-lh-transversetemporal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_TRANSVERSETEMPORAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-transversetemporal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_UNKNOWN_UCBERKELEYAV1451_10_17_16,ctx-lh-unknown,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_LH_UNKNOWN_SIZE_UCBERKELEYAV1451_10_17_16,ctx-lh-unknown ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_BANKSSTS_UCBERKELEYAV1451_10_17_16,ctx-rh-bankssts,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_BANKSSTS_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-bankssts ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_CAUDALANTERIORCINGULATE_UCBERKELEYAV1451_10_17_16,ctx-rh-caudalanteriorcingulate,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_CAUDALANTERIORCINGULATE_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-caudalanteriorcingulate ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_CAUDALMIDDLEFRONTAL_UCBERKELEYAV1451_10_17_16,ctx-rh-caudalmiddlefrontal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_CAUDALMIDDLEFRONTAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-caudalmiddlefrontal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_CUNEUS_UCBERKELEYAV1451_10_17_16,ctx-rh-cuneus,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_CUNEUS_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-cuneus ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_ENTORHINAL_UCBERKELEYAV1451_10_17_16,ctx-rh-entorhinal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_ENTORHINAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-entorhinal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_FRONTALPOLE_UCBERKELEYAV1451_10_17_16,ctx-rh-frontalpole,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_FRONTALPOLE_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-frontalpole ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_FUSIFORM_UCBERKELEYAV1451_10_17_16,ctx-rh-fusiform,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_FUSIFORM_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-fusiform ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_INFERIORPARIETAL_UCBERKELEYAV1451_10_17_16,ctx-rh-inferiorparietal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_INFERIORPARIETAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-inferiorparietal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_INFERIORTEMPORAL_UCBERKELEYAV1451_10_17_16,ctx-rh-inferiortemporal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_INFERIORTEMPORAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-inferiortemporal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_INSULA_UCBERKELEYAV1451_10_17_16,ctx-rh-insula,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_INSULA_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-insula ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_ISTHMUSCINGULATE_UCBERKELEYAV1451_10_17_16,ctx-rh-isthmuscingulate,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_ISTHMUSCINGULATE_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-isthmuscingulate ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_LATERALOCCIPITAL_UCBERKELEYAV1451_10_17_16,ctx-rh-lateraloccipital,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_LATERALOCCIPITAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-lateraloccipital ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_LATERALORBITOFRONTAL_UCBERKELEYAV1451_10_17_16,ctx-rh-lateralorbitofrontal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_LATERALORBITOFRONTAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-lateralorbitofrontal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_LINGUAL_UCBERKELEYAV1451_10_17_16,ctx-rh-lingual,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_LINGUAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-lingual ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_MEDIALORBITOFRONTAL_UCBERKELEYAV1451_10_17_16,ctx-rh-medialorbitofrontal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_MEDIALORBITOFRONTAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-medialorbitofrontal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_MIDDLETEMPORAL_UCBERKELEYAV1451_10_17_16,ctx-rh-middletemporal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_MIDDLETEMPORAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-middletemporal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_PARACENTRAL_UCBERKELEYAV1451_10_17_16,ctx-rh-paracentral,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_PARACENTRAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-paracentral ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_PARAHIPPOCAMPAL_UCBERKELEYAV1451_10_17_16,ctx-rh-parahippocampal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_PARAHIPPOCAMPAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-parahippocampal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_PARSOPERCULARIS_UCBERKELEYAV1451_10_17_16,ctx-rh-parsopercularis,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_PARSOPERCULARIS_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-parsopercularis ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_PARSORBITALIS_UCBERKELEYAV1451_10_17_16,ctx-rh-parsorbitalis,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_PARSORBITALIS_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-parsorbitalis ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_PARSTRIANGULARIS_UCBERKELEYAV1451_10_17_16,ctx-rh-parstriangularis,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_PARSTRIANGULARIS_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-parstriangularis ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_PERICALCARINE_UCBERKELEYAV1451_10_17_16,ctx-rh-pericalcarine,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_PERICALCARINE_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-pericalcarine ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_POSTCENTRAL_UCBERKELEYAV1451_10_17_16,ctx-rh-postcentral,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_POSTCENTRAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-postcentral ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_POSTERIORCINGULATE_UCBERKELEYAV1451_10_17_16,ctx-rh-posteriorcingulate,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_POSTERIORCINGULATE_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-posteriorcingulate ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_PRECENTRAL_UCBERKELEYAV1451_10_17_16,ctx-rh-precentral,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_PRECENTRAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-precentral ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_PRECUNEUS_UCBERKELEYAV1451_10_17_16,ctx-rh-precuneus,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_PRECUNEUS_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-precuneus ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_ROSTRALANTERIORCINGULATE_UCBERKELEYAV1451_10_17_16,ctx-rh-rostralanteriorcingulate,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_ROSTRALANTERIORCINGULATE_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-rostralanteriorcingulate ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_ROSTRALMIDDLEFRONTAL_UCBERKELEYAV1451_10_17_16,ctx-rh-rostralmiddlefrontal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_ROSTRALMIDDLEFRONTAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-rostralmiddlefrontal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_SUPERIORFRONTAL_UCBERKELEYAV1451_10_17_16,ctx-rh-superiorfrontal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_SUPERIORFRONTAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-superiorfrontal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_SUPERIORPARIETAL_UCBERKELEYAV1451_10_17_16,ctx-rh-superiorparietal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_SUPERIORPARIETAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-superiorparietal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_SUPERIORTEMPORAL_UCBERKELEYAV1451_10_17_16,ctx-rh-superiortemporal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_SUPERIORTEMPORAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-superiortemporal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_SUPRAMARGINAL_UCBERKELEYAV1451_10_17_16,ctx-rh-supramarginal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_SUPRAMARGINAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-supramarginal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_TEMPORALPOLE_UCBERKELEYAV1451_10_17_16,ctx-rh-temporalpole,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_TEMPORALPOLE_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-temporalpole ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_TRANSVERSETEMPORAL_UCBERKELEYAV1451_10_17_16,ctx-rh-transversetemporal,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_TRANSVERSETEMPORAL_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-transversetemporal ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_UNKNOWN_UCBERKELEYAV1451_10_17_16,ctx-rh-unknown,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
CTX_RH_UNKNOWN_SIZE_UCBERKELEYAV1451_10_17_16,ctx-rh-unknown ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_ACCUMBENS_AREA_UCBERKELEYAV1451_10_17_16,left-accumbens-area,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_ACCUMBENS_AREA_SIZE_UCBERKELEYAV1451_10_17_16,left-accumbens-area ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_AMYGDALA_UCBERKELEYAV1451_10_17_16,left-amygdala,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_AMYGDALA_SIZE_UCBERKELEYAV1451_10_17_16,left-amygdala ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_CAUDATE_UCBERKELEYAV1451_10_17_16,left-caudate,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_CAUDATE_SIZE_UCBERKELEYAV1451_10_17_16,left-caudate ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_CEREBELLUM_CORTEX_UCBERKELEYAV1451_10_17_16,left-cerebellum-cortex,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_CEREBELLUM_CORTEX_SIZE_UCBERKELEYAV1451_10_17_16,left-cerebellum-cortex ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_CEREBELLUM_WHITE_MATTER_UCBERKELEYAV1451_10_17_16,left-cerebellum-white-matter,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_CEREBELLUM_WHITE_MATTER_SIZE_UCBERKELEYAV1451_10_17_16,left-cerebellum-white-matter ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_CEREBRAL_WHITE_MATTER_UCBERKELEYAV1451_10_17_16,left-cerebral-white-matter,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_CEREBRAL_WHITE_MATTER_SIZE_UCBERKELEYAV1451_10_17_16,left-cerebral-white-matter ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_CHOROID_PLEXUS_UCBERKELEYAV1451_10_17_16,left-choroid-plexus,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_CHOROID_PLEXUS_SIZE_UCBERKELEYAV1451_10_17_16,left-choroid-plexus ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_HIPPOCAMPUS_UCBERKELEYAV1451_10_17_16,left-hippocampus,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_HIPPOCAMPUS_SIZE_UCBERKELEYAV1451_10_17_16,left-hippocampus ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_INF_LAT_VENT_UCBERKELEYAV1451_10_17_16,left-inf-lat-vent,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_INF_LAT_VENT_SIZE_UCBERKELEYAV1451_10_17_16,left-inf-lat-vent ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_LATERAL_VENTRICLE_UCBERKELEYAV1451_10_17_16,left-lateral-ventricle,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_LATERAL_VENTRICLE_SIZE_UCBERKELEYAV1451_10_17_16,left-lateral-ventricle ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_PALLIDUM_UCBERKELEYAV1451_10_17_16,left-pallidum,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_PALLIDUM_SIZE_UCBERKELEYAV1451_10_17_16,left-pallidum ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_PUTAMEN_UCBERKELEYAV1451_10_17_16,left-putamen,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_PUTAMEN_SIZE_UCBERKELEYAV1451_10_17_16,left-putamen ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_THALAMUS_PROPER_UCBERKELEYAV1451_10_17_16,left-thalamus-proper,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_THALAMUS_PROPER_SIZE_UCBERKELEYAV1451_10_17_16,left-thalamus-proper ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_VENTRALDC_UCBERKELEYAV1451_10_17_16,left-ventraldc,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_VENTRALDC_SIZE_UCBERKELEYAV1451_10_17_16,left-ventraldc ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_VESSEL_UCBERKELEYAV1451_10_17_16,left-vessel,N,,4,,av1451 uptake - subregion,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
LEFT_VESSEL_SIZE_UCBERKELEYAV1451_10_17_16,left-vessel ROI size in mm^3,N,,0,,mm^3,,,UCBERKELEYAV1451,UC Berkeley - AV1451 analysis
